Prénom;Nom;Date de décès;Âge;Année de naissance;Catégorie;Fichier image
Jean-Pierre;Bourtayre;04/03/2024;82;1942;Compositeurs;jean-pierre-bourtayre.jpg
Akira;Toriyama;01/03/2024;68;1956;Dessinateurs;akira-toriyama.jpg
Micheline;Presle;21/02/2024;101;1923;Acteurs;micheline-presle.jpg
Alexeï;Navalny;16/02/2024;47;1977;Responsables politiques;alexei-navalny.jpg
Robert;Badinter;09/02/2024;95;1929;Responsables politiques;robert-badinter.jpg
René;Chateau;05/02/2024;84;1940;Éditeurs;rene-chateau.jpg
Jean;Malaurie;05/02/2024;101;1923;Scientifiques;jean-malaurie.jpg
Don;Murray;02/02/2024;94;1930;Acteurs;don-murray.jpg
Carl;Weathers;02/02/2024;76;1948;Acteurs;carl-weathers.jpg
Norman;Jewison;20/01/2024;97;1927;Réalisateurs;norman-jewison.jpg
Laurence;Badie;11/01/2024;95;1929;Acteurs;laurence-badie.jpg
Glynis;Johns;04/01/2024;100;1924;Acteurs;glynis-johns.jpg
René;Metge;03/01/2024;82;1942;Sportifs;rene-metge.jpg
Brigitte;Bardot;28/12/2025;91;1934;Acteurs;brigitte-bardot.jpg
Chris;Rea;22/12/2025;74;1951;Chanteurs;chris-rea.jpg
Claude;Berda;19/12/2025;78;1947;Personnalités d’affaires;claude-berda.jpg
;Édika;16/12/2025;84;1941;Dessinateurs;edika.jpg
Gil;Gerard;16/12/2025;82;1943;Acteurs;gil-gerard.jpg
Françoise;Brion;12/12/2025;92;1933;Acteurs;francoise-brion.jpg
Sophie;Kinsella;10/12/2025;55;1970;Écrivains;sophie-kinsella.jpg
Martin;Parr;06/12/2025;73;1952;Photographes;martin-parr.jpg
Frank;Gehry;05/12/2025;96;1929;Architectes;frank-gehry.jpg
Tom;Stoppard;29/11/2025;88;1937;Écrivains;tom-stoppard.jpg
Ingrid;van Bergen;28/11/2025;94;1931;Acteurs;ingrid-van-bergen.jpg
;Biyouna;25/11/2025;73;1952;Chanteurs;biyouna.jpg
Jimmy;Cliff;24/11/2025;81;1944;Chanteurs;jimmy-cliff.jpg
;Dharmendra;24/11/2025;89;1936;Acteurs;dharmendra.jpg
Ornella;Vanoni;21/11/2025;91;1934;Chanteurs;ornella-vanoni.jpg
André;Chandernagor;18/11/2025;104;1921;Responsables politiques;andre-chandernagor.jpg
Xavier;Emmanuelli;16/11/2025;87;1938;Responsables politiques;xavier-emmanuelli.jpg
Lenny;Wilkens;09/11/2025;88;1937;Sportifs;lenny-wilkens.jpg
Diane;Ladd;03/11/2025;89;1936;Acteurs;diane-ladd.jpg
Tchéky;Karyo;31/10/2025;72;1953;Acteurs;tcheky-karyo.jpg
Peter;Watkins;31/10/2025;90;1935;Réalisateurs;peter-watkins.jpg
Charles;Coste;30/10/2025;101;1924;Sportifs;charles-coste.jpg
Richard;Bonnot;28/10/2025;67;1958;Acteurs;richard-bonnot.jpg
Jack;DeJohnette;26/10/2025;83;1942;Musiciens;jack-dejohnette.jpg
Björn;Andrésen;25/10/2025;70;1955;Acteurs;bjorn-andresen.jpg
André;Herrero;23/10/2025;87;1938;Sportifs;andre-herrero.jpg
Daniel;Naroditsky;19/10/2025;29;1996;Joueurs d'échecs;daniel-naroditsky.jpg
Ace;Frehley;16/10/2025;74;1951;Musiciens;ace-frehley.jpg
Jean-René;Godart;15/10/2025;74;1951;Journalistes;jean-rene-godart.jpg
Diane;Keaton;11/10/2025;79;1946;Acteurs;diane-keaton.jpg
Xavier;Durringer;04/10/2025;61;1964;Réalisateurs;xavier-durringer.jpg
Jane;Goodall;01/10/2025;91;1934;Scientifiques;jane-goodall.jpg
Claudia;Cardinale;23/09/2025;87;1938;Acteurs;claudia-cardinale.jpg
Robert;Redford;16/09/2025;89;1936;Acteurs;robert-redford.jpg
Lyad;Smain;12/09/2025;26;1999;Acteurs;lyad-smain.jpg
Charly;Oleg;08/09/2025;94;1931;Musiciens;charly-oleg.jpg
Jean;Pormanove;18/08/2025;46;1979;Personnalités des réseaux sociaux;jean-pormanove.jpg
Nicolas;Beaucaire;13/08/2025;52;1973;Acteurs;nicolas-beaucaire.jpg
James;Lovell;07/08/2025;97;1928;Astronautes;james-lovell.jpg
Hulk;Hogan;24/07/2025;71;1954;Sportifs;hulk-hogan.jpg
Felix;Baumgartner;17/07/2025;56;1969;Sportifs;felix-baumgartner.jpg
Loïk;Le Floch-Prigent;16/07/2025;81;1944;Ingénieurs;loik-le-floch-prigent.jpg
Thierry;Ardisson;14/07/2025;76;1949;Animateurs;thierry-ardisson.jpg
Fauja;Singh;14/07/2025;114;1911;Sportifs;fauja-singh.jpg
Bun;Hay Mean;10/07/2025;43;1982;Acteurs;bun-hay-mean.jpg
Olivier;Marleix;07/07/2025;54;1971;Responsables politiques;olivier-marleix.jpg
Julian;McMahon;02/07/2025;56;1969;Acteurs;julian-mcmahon.jpg
Lea;Massari;23/06/2025;91;1934;Acteurs;lea-massari.jpg
Frederick;W. Smith;21/06/2025;80;1945;Personnalités d’affaires;frederick-w-smith.jpg
Harris;Yulin;10/06/2025;87;1938;Acteurs;harris-yulin.jpg
Nicole;Croisille;04/06/2025;88;1937;Chanteurs;nicole-croisille.jpg
Philippe;Labro;04/06/2025;88;1937;Journalistes;philippe-labro.jpg
Jean;Tiberi;27/05/2025;90;1935;Responsables politiques;jean-tiberi.jpg
Daniel;Bilalian;14/05/2025;78;1947;Journalistes;daniel-bilalian.jpg
Joe;Don Baker;07/05/2025;89;1936;Acteurs;joe-don-baker.jpg
Inah;Canabarro Lucas;30/04/2025;116;1909;Divers;inah-canabarro-lucas.jpg
Richard;Chamberlain;29/03/2025;90;1935;Acteurs;richard-chamberlain.jpg
Émilie;Dequenne;16/03/2025;43;1982;Acteurs;emilie-dequenne.jpg
Jean-Louis;Debré;04/03/2025;80;1945;Responsables politiques;jean-louis-debre.jpg
Herbert;Léonard;02/03/2025;80;1945;Chanteurs;herbert-leonard.jpg
Michelle;Trachtenberg;26/02/2025;39;1986;Acteurs;michelle-trachtenberg.jpg
Jean;Sarrus;19/02/2025;79;1946;Acteurs;jean-sarrus.jpg
Gene;Hackman;18/02/2025;95;1930;Acteurs;gene-hackman.jpg
Paul-Loup;Sulitzer;05/02/2025;78;1947;Personnalités d’affaires;paul-loup-sulitzer.jpg
Marianne;Faithfull;30/01/2025;78;1947;Chanteurs;marianne-faithfull.jpg
Catherine;Laborde;28/01/2025;73;1952;Animateurs;catherine-laborde.jpg
Bertrand;Blier;20/01/2025;85;1940;Réalisateurs;bertrand-blier.jpg
David;Lynch;16/01/2025;78;1947;Réalisateurs;david-lynch.jpg
Jean-Luc;Petitrenaud;10/01/2025;74;1951;Animateurs;jean-luc-petitrenaud.jpg
Gilles;Dreu;07/01/2025;90;1935;Chanteurs;gilles-dreu.jpg
Benoît;Allemane;05/01/2025;82;1943;Acteurs;benoit-allemane.jpg
Claude;Allègre;04/01/2025;87;1938;Responsables politiques;claude-allegre.jpg
Howard;Buten;03/01/2025;74;1951;Écrivains;howard-buten.jpg
Valerie;Perrine;23/03/2026;82;1944;Acteurs;valerie-perrine.webp
Lionel;Jospin;22/03/2026;88;1938;Responsables politiques;lionel-jospin.webp
